#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,3:35:20,3:41:00,3:42:01,0,4,0,05:40,01:01
2,3:36:56,3:42:08,3:42:56,0,4,0,05:12,00:48
3,3:37:43,3:43:11,3:43:55,0,3,0,05:28,00:44
4,3:38:23,3:44:25,3:44:55,0,3,1,06:02,00:30
5,3:38:53,3:45:17,3:45:54,0,2,0,06:24,00:37
6,3:39:16,3:46:02,3:46:25,0,4,1,06:46,00:23
7,3:40:09,3:47:12,3:48:04,0,5,0,07:03,00:52
8,3:40:33,3:48:10,3:48:55,0,2,0,07:37,00:45
9,3:41:26,3:49:08,3:50:28,0,4,1,07:42,01:20
10,3:41:52,3:50:26,3:51:04,0,3,1,08:34,00:38
11,3:42:21,0,0,3:43:29,0,0,01:08,0
12,3:43:09,3:53:42,3:53:55,0,1,1,10:33,00:13
13,3:44:05,3:53:57,3:55:05,0,10,1,09:52,01:08
14,3:44:11,3:55:31,3:56:21,0,6,1,11:20,00:50
15,3:44:22,3:56:29,3:57:31,0,5,1,12:07,01:02
16,3:45:23,3:57:32,3:58:01,0,5,1,12:09,00:29
17,3:46:20,0,0,3:48:26,0,0,02:06,0
18,3:47:38,0,0,3:48:19,0,0,00:41,0
19,3:47:47,0,0,3:48:16,0,0,00:29,0
20,3:49:40,3:58:12,3:58:37,0,1,0,08:32,00:25
21,3:50:01,3:58:43,3:59:01,0,4,1,08:42,00:18
22,3:51:51,3:59:13,4:00:11,0,8,0,07:22,00:58
23,3:56:08,4:00:19,4:01:42,0,5,0,04:11,01:23
24,3:56:12,4:01:49,4:04:09,0,7,0,05:37,02:20
25,3:56:38,4:04:16,4:05:00,0,4,0,07:38,00:44
26,3:57:42,4:05:14,4:06:23,0,5,0,07:32,01:09
27,3:59:30,4:08:03,4:08:36,0,7,1,08:33,00:33
28,4:00:36,4:07:35,4:07:51,0,3,1,06:59,00:16
29,4:00:47,4:09:28,4:10:01,0,2,1,08:41,00:33
30,4:03:42,0,0,4:07:26,0,0,03:44,0
31,4:04:59,4:10:01,4:10:56,0,3,0,05:02,00:55
