#,Arrival,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,3:00:09,3:06:30,3:08:30,0,12,1,06:21,02:00
2,3:01:15,3:08:53,3:10:05,0,6,0,07:38,01:12
3,3:01:44,3:11:36,3:12:40,0,20,0,09:52,01:04
4,3:03:46,3:13:50,3:14:22,0,1,0,10:04,00:32
5,3:05:10,3:14:43,3:15:41,0,18,1,09:33,00:58
6,3:05:53,3:16:12,3:16:51,0,3,0,10:19,00:39
7,3:07:50,3:15:29,3:16:32,0,2,0,07:39,01:03
8,3:08:13,3:17:16,3:17:41,0,5,0,09:03,00:25
9,3:09:20,3:10:57,3:11:25,0,1,0,01:37,00:28
10,3:11:26,3:17:58,3:18:32,0,7,0,06:32,00:34
11,3:12:16,0,0,3:12:40,0,0,00:24,0
12,3:12:45,3:18:57,3:19:51,0,1,0,06:12,00:54
13,3:15:00,3:20:05,3:20:15,0,5,0,05:05,00:10
14,3:15:20,3:20:31,3:21:58,0,1,0,05:11,01:27
15,3:15:33,3:22:09,3:23:18,0,10,1,06:36,01:09
16,3:16:04,3:23:18,3:24:10,0,4,0,07:14,00:52
17,3:19:37,3:24:15,3:24:42,0,2,0,04:38,00:27
18,3:20:17,3:24:51,3:25:42,0,4,0,04:34,00:51
19,3:21:00,3:25:44,3:26:46,0,12,0,04:44,01:02
20,3:22:09,3:27:25,3:29:07,0,7,0,05:16,01:42
21,3:23:21,3:29:09,3:32:10,0,20,1,05:48,03:01
