#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,2:58:18,3:02:15,3:03:22,0,3,0,03:57,01:07
2,2:59:35,3:04:31,3:10:16,0,74,0,04:56,05:45
3,3:02:12,3:10:16,3:11:40,0,11,0,08:04,01:24
4,3:02:12,3:11:40,3:12:10,0,11,0,09:28,00:30
5,3:04:45,3:12:10,3:13:15,0,10,0,07:25,01:05
6,3:05:50,3:13:36,3:17:13,0,35,1,07:46,03:37
7,3:07:55,0,0,3:10:40,0,0,02:45,0
8,3:10:40,0,0,3:11:50,0,0,01:10,0
9,3:12:00,3:17:50,3:19:20,0,13,0,05:50,01:30
10,3:12:50,0,0,3:13:15,0,0,00:25,0
11,3:13:50,3:19:20,3:21:09,0,21,1,05:30,01:49
12,3:14:11,3:21:50,3:23:13,0,9,0,07:39,01:23
13,3:16:54,3:23:13,3:25:06,0,12,0,06:19,01:53
14,3:17:05,3:25:06,3:26:46,0,15,0,08:01,01:40
15,3:18:15,3:27:05,3:28:55,0,12,0,08:50,01:50
16,3:18:32,3:28:50,3:31:51,0,43,1,10:18,03:01
